PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
21	0	0	217	264	0	7	5	-5120	0	6248960
0	0	0	254	263	6	0	0	0	-256	6270720
0	2	0	273	292	21	2	0	-256	-256	6264320
0	0	0	258	468	214	0	0	-768	-256	6279936
0	0	0	253	514	1619	83	0	1280	-256	6267648
0	0	0	250	510	1712	1817	9	1024	-256	6272256
0	0	3	248	511	1668	2130	150	2560	-256	6144
0	0	2	243	521	1696	1875	144	2816	-256	16896
0	0	0	224	490	1685	2002	156	3072	-256	10752
0	0	0	259	513	1823	1837	133	3840	-256	6283008
0	0	4	221	421	1741	1889	138	3072	-256	6265856
0	0	0	232	230	1635	1894	147	3840	-256	6283008
0	0	0	208	222	67	1992	159	4864	-256	4608
0	0	0	230	230	0	258	140	3072	-256	6275328
0	0	0	269	303	0	25	47	4096	-256	4608
0	0	0	261	233	0	0	3	4352	-256	18432
0	0	0	206	224	0	0	0	4096	-256	16896
