PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
0	0	1	38	51	3	2	0	0	256	12288
0	0	4	56	50	5	5	0	512	256	6247424
0	6	6	85	51	2	2	0	1536	0	6253568
0	0	36	148	48	0	0	0	2304	0	6247424
0	0	293	335	47	0	2	0	2560	0	6248960
0	86	3080	353	53	0	0	0	1536	0	6265856
7	2898	2899	345	49	6	2	0	1280	256	6262784
179	2890	2845	340	46	0	1	0	1024	256	6248960
219	2821	2738	332	44	0	0	0	512	256	6250496
224	2771	2771	340	46	1	8	0	1280	256	6244096
194	2431	2606	333	45	4	2	0	1024	256	6253568
200	2516	2659	278	44	0	4	0	1536	256	6256640
216	2623	2459	85	48	1	6	0	1536	256	6259712
211	2453	107	83	42	2	4	0	2048	256	6253568
195	261	45	102	46	0	1	0	1792	256	6261248
67	47	130	92	50	2	0	0	2048	256	6256640
19	61	213	65	51	0	0	0	1536	256	6259712
10	213	96	67	41	0	3	0	1280	256	6259712
33	176	13	59	38	3	0	0	1280	256	0
