PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
60	412	99	226	241	0	0	0	2701824	-1168128	5837056
63	393	62	203	211	0	0	0	2708992	-1171712	5832448
61	382	65	218	222	0	0	18	2712576	-1173248	5829376
66	342	34	246	245	0	0	0	2718976	-1176576	5837056
61	320	21	273	254	0	0	0	2725888	-1179648	5838592
62	268	20	283	270	0	0	0	2731520	-1182464	5840128
59	231	17	304	299	0	0	0	2738432	-1185792	5841664
62	176	13	320	310	0	0	0	2741248	-1187072	5843456
62	143	7	317	308	0	0	0	2748928	-1190656	5844992
59	128	3	318	324	0	0	0	2756352	-1193984	5848064
54	105	2	360	348	0	0	0	2760448	-1196032	5848064
55	91	9	369	394	0	0	0	2768128	-1199616	5851136
51	69	5	398	414	0	0	0	2775552	-1202944	5849600
50	63	0	442	460	0	0	0	2778624	-1204224	5849600
40	52	4	480	486	0	0	0	2786304	-1208064	5840128
42	42	11	525	496	0	0	0	2791168	-1210112	5835520
37	36	4	610	516	0	0	0	2792704	-1211136	5837056
36	35	0	554	474	0	0	0	2792704	-1211136	5837056
38
