PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
3	4	0	48	47	2	6	0	-2048	256	6228736
0	2	1	61	48	0	0	1	-768	256	6247424
0	0	11	81	45	0	0	0	1024	256	6256640
0	0	37	128	46	0	0	0	512	256	6245888
0	0	220	248	53	3	0	0	768	256	6242560
0	84	1463	256	46	1	2	0	0	256	6258176
4	1536	1627	260	47	7	0	0	256	256	6253568
117	1567	1586	266	42	5	2	0	-512	256	6264320
171	1755	1612	254	41	4	0	0	0	256	6253568
176	1761	1684	266	49	5	3	0	-512	256	6265856
159	1549	1511	243	48	4	0	0	-768	256	6255104
163	1559	1464	183	46	1	0	0	-512	256	6261248
156	1464	1259	80	50	3	0	0	512	256	6262784
156	1330	88	93	46	0	2	0	-768	256	6261248
143	206	55	96	43	1	0	0	-256	256	6261248
63	45	130	100	46	3	1	0	-2304	512	6261248
16	73	213	64	46	4	0	0	-1792	512	6262784
9	211	102	61	41	0	0	0	-1792	512	6261248
22	158	16	70	41	0	0	0	-2048	512	6255104
