PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
0	6	0	55	49	0	0	0	256	1536	413184
0	4	0	58	51	4	3	0	1792	2048	427264
0	1	2	68	46	0	0	0	1536	2048	452096
0	0	23	91	39	0	0	0	3072	2816	480000
0	7	116	126	43	1	0	0	3072	2816	490752
0	47	382	127	46	4	0	0	6144	4352	495616
0	319	436	138	46	0	1	0	6656	4608	506368
26	415	453	134	45	0	1	0	8448	5632	512512
44	438	458	132	51	2	0	0	12544	7936	472320
57	430	448	134	52	0	0	0	13056	8192	497152
49	418	428	124	47	1	0	0	16640	9984	507904
54	416	413	99	44	0	0	0	20736	12288	517376
60	409	319	73	47	3	0	0	21760	13056	560896
56	347	62	79	47	0	0	0	23296	14080	568576
45	99	48	94	39	3	0	0	24576	14848	580864
21	29	127	97	51	0	0	0	25600	15360	580864
8	74	214	61	46	2	0	0	27392	16640	588800
7	220	101	59	42	0	0	0	27648	16896	602624
23	165	6	56	37	0	0	0	27648	16896	619776
