PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
19	5	0	257	288	0	0	10	-3584	-256	6244096
2	0	11	311	275	3	1	0	-1536	-256	6281472
4	0	34	400	399	38	0	0	-512	-256	6255104
0	5	384	699	697	374	3	0	1280	-256	24832
0	148	4939	765	724	5135	87	0	256	-256	10752
17	4551	5107	797	727	4994	6043	12	1280	-256	18432
276	5499	5760	768	702	4435	5123	229	2560	-256	6276864
305	5371	5940	798	713	4334	5231	285	3328	-256	6269184
362	6056	5921	769	706	4533	4792	258	3840	-256	6256640
295	4941	5777	779	735	4761	5895	319	3584	-256	6269184
345	5428	5310	627	661	5386	5608	274	3584	-256	3072
292	4388	4704	269	287	6068	7253	336	4864	-256	6245888
294	4205	57	254	264	64	7434	333	4608	-256	6281472
259	274	0	262	277	0	308	280	3840	-256	6264320
86	21	0	300	314	0	37	69	2304	0	6279936
20	0	0	289	417	0	0	7	512	0	6279936
2	0	0	260	300	0	0	0	512	-256	12288
