PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
118	68	0	364	596	69	212	14	419840	491520	543744
130	51	0	364	596	69	212	14	422912	493312	455168
128	37	0	399	390	95	170	17	424960	494336	403968
117	17	5	406	361	109	152	22	430336	496384	377344
107	7	0	414	447	103	154	26	438784	499712	378880
79	7	0	403	551	94	154	15	442112	500992	377344
65	11	3	403	551	94	154	17	449536	504064	360448
56	4	4	311	821	72	144	15	456448	506368	310528
45	11	1	371	889	81	144	17	461824	507904	242176
40	2	0	496	799	87	125	16	465664	508928	198656
30	1	5	397	759	89	116	17	465664	508928	198656
34	6	2	397	759	89	116	15	467456	509184	150528
29	0	0	327	521	99	99	13	470784	509440	65024
21	0	2	333	351	124	90	16	473856	509696	16896
15	0	0	395	296	129	79	17	480512	509696	6267648
12	0	7	402	302	136	69	12	483840	509440	6275328
11	0	0	402	302	136	69	11	492800	509696	19968
12	0	0	272	435	119	96	14	500480	509952	35584
12	0	0	208	483	109	112	8	505344	509952	13824
7	0	0	193	467	109	119	8	513280	509952	6241024
2	0	0	215	438	114	113	6	516096	509696	6213120
3	0	0	215	438	114	113	2	523264	508928	6149376
0	0	0	296	335	126	97	8	531968	507648	6110464
3	0	0	325	341	115	104	3	536576	506880	6105856
2	5	0	316	358	95	138	2	543232	505600	6104320
1	3	0	308	387	94	136	1	546304	505088	6101248
0	1	0	323	396	81	158	0	555008	503296	6088960
0	0	5	321	418	63	188	0	563456	501760	6081024
0	1	0	313	432	60	192	2	567808	500
