PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
0	10	2	431	499	215	409	17	1320192	-356352	5378816
0	0	0	553	457	275	324	12	1324800	-361984	5363200
0	1	0	569	442	257	331	9	1325568	-363264	5363200
0	0	1	474	602	223	348	16	1325568	-363264	5360128
0	0	1	362	537	225	339	10	1325568	-363264	5360128
0	0	2	202	507	221	345	15	1326848	-364800	5347584
0	0	0	180	476	231	345	11	1331968	-372480	5276160
0	4	0	224	491	232	311	10	1334016	-375552	5252864
0	0	0	253	537	222	300	4	1338112	-382976	5192192
5	0	0	293	589	220	279	0	1339904	-386816	5155072
0	2	0	322	582	241	264	1	1342720	-393472	5077248
5	1	0	391	518	255	223	0	1345280	-400128	5043200
5	5	4	392	526	260	218	0	1346048	-402688	5032192
0	0	0	383	535	265	220	0	1348608	-410624	4996608
0	4	1	396	566	261	235	0	1350656	-418560	4968448
0	0	5	389	617	261	242	0	1351936	-422912	4950016
4	0	0	368	630	260	253	0	1353472	-430848	4908032
0	0	0	368	641	257	242	2	1354240	-434176	4890880
0	1	0	360	657	258	241	0	1355520	-442368	4842752
1	0	0	400	649	261	241	0	1356288	-449536	4775936
0	0	3	419	586	280	227	0	1356288	-451584	4755712
0	0	0	338	437	292	205	0	1356288	-451584	4755712
0	0	0	260	377	294	202	0	1356288	-453120	4743168
0	0	6	194	303	295	207	0	1356544	-462080	4707584
0	0	0	216	315	269	231	0	1356288	-470528	4685824
5	0	0	213	321	240	252	0	1356288	-474112	4671744
0	0	0	184	305	201	291	0	1355776	-481536	4637696
0	0	1	210	292	196	301	0	1355520	-485632	4629760
0	0	0	240	319	143	396	0	1354752	-494080	4601856
0	0	0	279	337	117	432	0	1353728	-501248	4570880
0	0	0	291	318	106	436	0	1352960	-506112	4562944
0	0	2	278	305	77	456	0	1351680	-514560	4558336
0	0	2	287	319	49	461	0	1351168	-517888	4556800
0	22	0	268	345	29	444	0	1349888	-526080	4549120
0	11	0	283	365	20	419	0	1348608	-534016	4538112
0	0	0	279	373	15	367	9	1347840	-538624	4520960
0	0	5	287	368	15	329	23	1346048	-546816	4491520
0	0	0	317	356	13	262	21	1345280	-550144	4486912
0	
