PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
90	552	414	262	279	248	289	34	3549952	-1131008	200192
95	555	337	268	240	232	291	28	3554304	-1130240	190976
95	551	295	252	224	217	283	29	3561984	-1128704	189440
92	547	234	272	208	202	287	33	3570176	-1127168	203520
89	512	211	264	217	163	299	30	3573504	-1126400	208128
87	502	179	264	217	163	299	35	3581952	-1124608	214272
85	481	106	242	218	96	305	38	3585536	-1123840	225280
74	464	99	194	207	76	308	48	3591424	-1122304	236032
74	438	59	183	188	66	300	43	3600896	-1120000	237568
78	416	55	206	229	40	280	38	3604480	-1119232	236032
71	361	33	206	229	40	280	41	3612160	-1117440	232960
75	305	11	199	194	16	244	40	3620096	-1115392	228352
75	263	10	195	201	14	199	34	3624704	-1114368	225280
75	198	4	198	206	9	170	47	3632640	-1112576	226816
73	172	5	203	211	7	163	41	3635712	-1111808	228352
74	133	2	203	211	7	163	43	3643648	-1110016	218880
74	110	4	200	209	6	119	43	3651584	-1108224	220416
65	93	4	203	204	5	90	35	3656704	-1107200	214272
66	77	0	218	266	1	84	36	3665408	-1105408	208128
61	50	0	232	208	1	65	26	3668480	-1104640	206592
54	46	0	232	208	1	65	29	3674880	-1103360	209664
55	31	0	214	190	0	58	27	3683072	-1101568	215808
41	30	0	197	201	0	36	28	3687936	-1100544	211200
35	20	0	189	198	0	40	22	3695872	-1098752	217344
31	26	0	224	194	1	32	28	3699200	-1097984	217344
27	14	0	182	197	0	31	18	3707136	-1096192	212736
25	9	5	186	193	0	24	17	3714816	-1094656	223744
17	4	5	189	198	0	16	9	3720448	-1093376	225280
14	5	0	170	200	0	19	12	3727872	-1091584	215808
14	2	1	177	193	0	16	9	3730688	-1091072	209664
13	1	4	167	187	2	12	13	3738624	-1089280	205056
10	6	0	207	205	0	13	4	3746816	
