PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
0	1	3	48	46	1	0	1	0	0	19968
0	4	0	62	52	7	2	0	1024	0	6272256
0	0	2	89	55	1	2	0	2048	0	6262784
0	0	32	169	54	3	0	0	2560	0	6252032
0	4	310	449	53	4	0	0	3072	0	6247424
0	59	6319	495	51	0	0	0	3072	0	6245888
11	6327	6632	482	52	0	3	0	2816	0	6241024
269	6304	6794	491	57	0	0	0	4096	-256	6234880
332	6303	6106	462	48	6	2	0	2560	-256	6252032
315	5829	5933	458	52	3	5	0	2560	-256	6253568
335	6377	6282	454	58	0	2	0	2304	-256	6255104
296	5365	5585	385	47	2	4	2	3328	-256	6255104
314	5478	5259	89	48	7	0	3	2816	-256	6270720
295	4858	125	86	41	0	2	3	2304	-256	6259712
274	363	46	93	42	0	3	0	3840	-256	6267648
87	50	127	96	45	0	0	0	2816	0	6267648
29	85	223	60	43	2	0	8	2560	0	6269184
7	217	111	59	47	1	1	0	2560	0	6272256
27	173	15	59	41	0	0	0	2304	0	6259712
