PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
17	8	0	233	260	0	3	7	-3584	-256	23296
1	7	0	265	250	7	4	0	0	-256	6261248
0	0	0	229	380	37	0	0	1792	-256	27904
0	0	0	260	644	316	0	0	2048	-256	6144
0	0	4	273	698	4768	95	0	2048	-256	19968
0	0	8	264	670	4375	5217	17	2048	-256	15360
0	0	0	244	672	4755	5978	258	3072	-256	6262784
0	1	0	234	646	3718	4548	248	2304	-256	6273792
0	0	3	239	680	4587	5085	257	1792	-256	6269184
0	0	1	271	705	4828	5410	268	1792	-256	6267648
0	0	0	262	621	5476	5535	251	2816	-256	6256640
0	0	0	242	273	4651	5205	256	768	-256	6267648
0	0	0	214	252	68	5533	278	2048	-256	12288
0	0	0	247	237	0	340	234	1792	-256	6281472
0	0	0	221	241	0	42	67	3072	-256	6273792
0	0	0	230	250	0	4	10	768	-256	6269184
0	0	0	193	255	0	0	0	768	-256	15360
