PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
23	6	1	274	271	0	0	6	512	-256	1536
0	3	2	289	262	4	0	0	768	-256	40192
3	4	26	338	308	27	0	0	256	-256	29440
0	7	138	381	372	124	4	0	256	-256	26368
0	66	535	387	393	451	67	0	2048	-256	6144
1	463	621	402	363	512	444	0	3584	-256	15360
47	601	636	396	348	505	525	17	3328	-256	3072
66	596	654	414	384	493	554	48	3072	-256	6262784
69	577	626	404	344	519	593	60	4096	-256	6258176
83	606	621	409	351	516	561	51	3328	-256	6261248
77	570	592	340	303	515	601	60	3328	-256	9216
71	531	409	254	248	425	630	69	3840	-256	6272256
72	436	28	266	248	43	551	67	2816	-256	6281472
65	111	2	290	291	2	112	61	4096	-256	4608
27	15	0	292	306	0	34	30	2304	-256	6281472
1	5	0	298	361	0	0	5	2304	-256	1536
0	0	0	315	335	0	0	0	1792	-256	3072
