PRV 0	PRV 1	PRV 2	PRV 3	PRV 4	PRV 5	PRV 6	PRV 7	X [ym]	Y [ym]	Theta [yrad]
2	0	0	47	44	4	0	0	-2560	512	6261248
0	0	0	58	47	2	0	0	-2048	512	6256640
0	0	4	69	49	0	0	0	-2048	512	6253568
0	0	29	107	45	3	0	0	-2816	512	6264320
0	3	139	151	41	0	0	0	-2816	512	6264320
0	62	578	159	41	1	2	0	-3072	512	6259712
0	520	661	164	48	2	0	0	-2560	512	6269184
47	611	639	161	46	0	1	0	-3840	512	6267648
70	611	624	153	45	1	4	0	-2816	512	6262784
72	612	636	158	49	7	0	0	-3072	512	6264320
75	613	640	151	46	4	1	0	-3328	512	6264320
78	620	631	122	48	2	0	0	-2304	512	6272256
74	604	502	80	51	0	0	0	-3584	512	6258176
65	473	83	79	46	4	0	0	-3328	512	6270720
63	132	44	90	47	3	1	0	-2816	512	6262784
32	43	127	96	40	0	0	0	-2560	512	6267648
10	71	215	67	45	2	0	0	-3584	512	6261248
2	204	108	62	46	0	0	0	-5888	512	3072
25	172	13	54	41	0	0	0	-5632	512	10752
